Country Name,,Access to electricity (% of population),Age dependency ratio (% of working-age population),"Agriculture, value added (% of GDP)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Electric power consumption (kWh per capita),"Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),Exports of goods and services (% of GDP),Fixed broadband Internet subscribers (per 100 people),GDP per person employed (constant 1990 PPP $),"Government expenditure on education, total (% of GDP)",Imports of goods and services (% of GDP),Individuals using the Internet (% of population),"Industry, value added (% of GDP)","Labor force, total",Mobile cellular subscriptions (per 100 people),"Population, total",Research and development expenditure (% of GDP),Rural population (% of total population),"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","Self-employed, total (% of total employment) (modeled ILO estimate)",Telephone lines (per 100 people),"Total employment, total (ages 15+)",Unemployment with advanced education (% of total labor force with advanced education),Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Brazil,2010,98.88305664,46.27616053,4.115756488,3.917999983,2361.055941,3.443000078,15.96199989,22.29800034,61.74000168,10.73819942,7.165222223,31707.2207,5.648799896,11.77920798,40.65,23.26797735,97300825,100.0679429,196796269,1.15869,15.665,,,29.4260006,21.41372812,89164963,,,7.256999969,84.335,25.98399997,70.5739975
Brazil,2011,99.328691,45.66889656,4.342034128,3.562999964,2416.462848,3.563999891,15.72599983,21.76799965,62.50600052,11.46613801,8.975463419,32832.72266,5.737410069,12.23551783,45.69,23.10205096,97106421,117.9533009,198686688,1.14132,15.369,132.4966125,95.26338196,29.12700081,21.65511713,90609928,4.364099979,10.57680035,6.690000057,84.631,25.56200051,70.8730011
Brazil,2012,99.519494,45.11883127,4.168328224,2.993000031,2485.588137,4.019000053,11.49600029,23.01399994,65.48999786,11.70305477,9.533083511,33268.21875,5.855100155,13.06225025,48.56,22.13364737,98201510,123.8145622,200560983,1.12795,15.077,130.3760223,95.5837326,29.99799919,22.09068451,91141990,3.975699902,9.352800369,7.190000057,84.923,25.97900009,70.0019989
Brazil,2013,99.575151,44.62378196,4.506886182,2.95600009,2551.407985,4.152999878,11.19900036,22.93700027,65.86399841,11.63018213,10.55322334,33734.05859,5.838850021,13.93167816,51.04,21.22480995,99541859,133.9368763,202408632,1.19828,14.791,109.7704926,101.8680725,30.26099968,22.25108512,92583278,3.994600058,9.927200317,6.989999771,85.209,26.10899997,69.73899841
Brazil,2014,99.650247,44.18965759,4.325610539,2.736999989,2601.365506,4.152999878,10.37100029,22.88199997,66.7460022,11.01194282,11.73692977,33431.30078,5.948480129,13.673463,54.55100188,20.47246275,100603554,137.468532,204213133,1.16755,14.508,111.0638733,101.9508972,30.14699936,21.6088884,93892451,4.59679985,10.4762001,6.670000076,85.492,25.99499941,69.85299683
Canada,2000,100,46.48238429,,0.291000009,16990.57839,5.566999912,3.288000107,22.47500038,74.23699951,44.23746802,4.590520629,76226.72656,5.442009926,38.62025799,51.3,,16235249,28.39362459,30769700,1.86873,20.522,100.2536087,101.4343719,16.17200089,67.80372825,15126383,4.629000187,6.960199833,6.829999924,79.478,10.60399973,83.82800293
Canada,2001,100,46.00901395,,0.226999998,16807.14499,5.295000076,2.828999996,22.36899948,74.8010025,42.03620326,9.141094273,76746.00781,4.969580173,36.37011675,60.2,,16492176,34.32422881,31081900,2.02921,20.19,,,15.29599953,68.09406122,15301405,5.086800098,6.972000122,7.21999979,79.81,10.00100017,84.70400238
Canada,2002,100,45.59015985,,0.223000005,16959.60079,5.147999763,2.767999887,22.53100014,74.69999695,40.0344024,11.22254225,77270.82031,5.01072979,35.69828795,61.59329927,,16944708,37.9044158,31362000,1.97782,20.112,,,15.23900032,65.84104302,15646673,5.265799999,7.470300198,7.659999847,79.888,10.09100004,84.76100159
Canada,2003,100,45.20544466,,0.226999998,17191.15419,5.123000145,2.759000063,22.27300072,74.96800232,36.82783938,14.26908967,76714.78906,,33.01560007,64.2,,17361674,42.02314887,31676000,1.97528,20.033,,,15.44099998,65.17050218,16047491,5.442599773,7.302499771,7.570000172,79.967,10.3179996,84.55899811
Canada,2004,100,44.83060658,,0.195999995,17235.41178,5.275000095,2.640000105,22.37899971,74.98000336,37.28795097,16.95179602,77756.17969,,32.89259588,65.95596346,,17583893,47.01181245,31995000,2.00594,19.955,98.05034637,,15.47000027,64.36111182,16319465,5.192100048,6.993999958,7.190000057,80.045,10.19599999,84.52999878
Canada,2005,100,44.48632545,,0.170000002,16912.47834,5.394000053,2.719000101,22.04899979,75.23200226,36.7951092,21.69228301,79141.32813,4.782149792,32.91473422,71.66,,17734768,52.70258468,32312000,1.97345,19.878,96.98737335,100.9854736,15.65200043,56.20667505,16536045,4.905499935,6.661900043,6.760000229,80.122,10.2580003,84.34799957
Canada,2006,100,44.23332915,,0.182999998,16508.67863,5.211999893,2.655999899,21.50600052,75.83799744,35.32934774,24.64046864,79793.82813,,32.65183718,72.4,,17912036,57.43244785,32570505,1.95161,19.787,98.55751801,101.3502197,15.31000042,55.86071433,16779839,4.548999786,6.219399929,6.320000172,80.213,10.09699956,84.69000244
Canada,2007,100,44.03354367,1.407025723,0.159999996,16683.69014,5.09499979,2.497999907,21.09900093,76.40299988,34.15316625,27.48437519,79449.5625,4.780360222,32.03887814,73.2,29.07535404,18274723,61.40957528,32887928,1.91287,19.604,98.71679688,101.6094589,15.53899956,55.36663734,17170833,4.214900017,5.9447999,6.039999962,80.396,10.44299999,84.46099854
Canada,2008,100,43.93386236,1.597654579,0.157000005,16378.14227,5.136000156,2.384000063,20.93600082,76.68000031,34.32313544,29.46396102,78977.59375,4.638259888,32.60109515,76.7,29.72001721,18573598,66.13620397,33245773,1.8637,19.422,97.83892822,102.1233902,15.62199974,54.63327928,17433060,4.289800167,6.137300014,6.139999866,80.578,10.48500007,84.37799835
Canada,2009,100,43.98147676,1.375939874,0.136000007,15450.87955,5.127999783,2.374000072,19.94099998,77.68499756,28.43575045,30.452949,77917.73438,4.852640152,29.91249645,80.3,25.44563647,18709052,70.47060993,33628571,1.91904,19.242,98.90503693,102.5805206,16.14299965,55.36576966,17148726,5.211299896,7.969799995,8.340000153,80.758,11.01499972,83.85700226
Canada,2010,100,44.19611175,1.33166399,0.115000002,15269.5726,5.039000034,2.313999891,19.78800011,77.89800262,29.07195642,31.65795927,79209.60156,5.36992979,30.98877285,80.3,26.71311708,18913515,75.58210932,34005274,1.84066,19.063,98.60861969,102.3109131,15.85299969,53.83294426,17388923,5.517499924,8.094799995,8.06000042,80.937,10.81400036,84.14700317
Canada,2011,100,44.68164021,1.605663978,0.128999993,15642.96775,4.877999783,2.246999979,19.87599945,77.8769989,30.56462375,32.66655803,80519.10938,5.274439812,31.76399864,83,27.5212693,19059145,77.71010667,34342780,1.79853,18.904,98.22814941,103.3314285,15.50500011,52.90888559,17627670,5.325200081,7.811299801,7.510000229,81.096,10.62700014,84.49500275
Canada,2012,100,45.20453357,1.647293626,0.120999999,15320.59425,4.732999802,2.191999912,19.92200089,77.88600159,30.2136045,33.49477897,80971.69531,,32.18353222,83,27.0335658,19264216,79.42532966,34750545,1.79709,18.863,99.62857056,110.1856308,15.39900017,50.78980496,17859686,5.238399982,7.744299889,7.289999962,81.137,10.66600008,84.60099792
Canada,2013,100,45.81078396,1.725293697,0.130999997,15719.70823,4.745999813,2.13499999,19.77099991,78.09300232,30.16333848,34.30517994,81871.02344,,31.81005643,85.8,27.01640868,19504718,80.44136099,35152370,1.69164,18.822,100.5110397,109.852272,15.47299957,47.99535505,18125758,4.932499886,7.885700226,7.070000172,81.178,10.72699971,84.52700043
Canada,2014,100,46.5217536,1.424795747,0.135000005,15545.53511,4.644999981,2.061000109,19.58099937,78.35800171,31.53689616,35.2986828,83496.44531,,32.52072677,87.12,27.5332382,19601132,80.85723896,35535348,1.61548,18.782,101.7714767,109.8116608,15.34500027,46.07140939,18246655,4.880099773,7.640500069,6.909999847,81.218,10.69999959,84.65499878
China,2000,96.243927,46.06520595,14.67624166,25.35700035,992.9433847,1.730000019,43.79000092,28.12100029,28.08799934,20.89344482,0.001765899,6553.757813,,18.51709397,1.775913207,45.53727864,734849258,6.644332017,1262645000,0.89566,64.123,,59.65488052,54.98500061,11.28655831,701559912,,,4.53000021,35.877,53.25500107,45.01499939
China,2001,96.55620575,44.79092288,13.98346135,24.47699928,1076.549121,1.731999993,42.625,28.05200005,29.32299995,20.31214574,0.026049283,7053.375977,,18.21521353,2.639650215,44.79457056,740669268,11.21820253,1271850000,0.93917,62.907,110.2760696,59.71675873,54.16699982,13.97185992,707117394,,,4.53000021,37.093,52.43599892,45.83300018
China,2002,96.85614014,43.09120173,13.30148771,23.39900017,1194.856295,1.774000049,41.27999878,28.03800011,30.68199921,22.64474567,0.253994432,7624.646973,,20.10265796,4.595704331,44.45171678,747357876,15.8630534,1280400000,1.05541,61.575,114.6623077,59.98675919,53.0929985,16.49578906,714397410,,,4.409999847,38.425,51.31900024,46.9070015
China,2003,97.1497879,41.19222248,12.34899897,21.93099976,1379.484632,1.949000001,39.24700165,29.38999939,31.36300087,26.98075653,0.858809836,8304.691406,,24.82323147,6.2,45.62396442,754391730,20.66477271,1288400000,1.12382,60.224,118.9483185,61.8509903,51.39500046,20.11315686,721949275,,,4.300000191,39.776,49.44599915,48.60499954
China,2004,97.44321442,39.46517379,12.91664817,20.05200005,1585.838782,2.198999882,37.95999908,29.36800003,32.67200089,31.06133758,1.897982349,9067.948242,,28.44418664,7.3,45.90140165,760824124,25.48113353,1296075000,1.21378,58.856,,,49.2879982,23.72558796,728106970,,,4.300000191,41.144,47.0890007,50.7120018
China,2005,97.74249268,38.09586159,11.6414956,18.60199928,1782.312153,2.394999981,35.82500076,29.61800003,34.55599976,33.82985757,2.826069624,10012.6123,,28.3780353,8.523257003,47.02377115,766360863,29.76687407,1303720000,1.31015,57.478,,,47.65200043,26.51625086,734632438,,,4.139999866,42.522,45.25699997,52.34799957
China,2006,98.06681061,37.17160613,10.62576053,17.04500008,2039.01466,2.588000059,33.50400162,29.94599915,36.54899979,36.03502555,3.825808914,11209.3877,,28.44385835,10.52315262,47.55856667,770370795,34.68664201,1311020000,1.37128,56.132,105.4741669,70.01992798,45.9659996,27.66953684,739560589,,,4,43.868,43.37800026,54.0340004
China,2007,98.39870453,36.44171818,10.28299697,15.33699989,2325.926769,2.743999958,31.24399948,29.95400047,38.80199814,35.38817873,4.968130974,12703.79297,,26.71643833,16,46.8610339,774185350,40.9414866,1317885000,1.37416,54.801,107.8935928,75.02207947,44.24100113,27.35165033,745081499,,,3.75999999,45.199,41.49799919,55.75899887
China,2008,98.74991608,35.94885651,10.25089863,13.88700008,2446.369055,3.019000053,29.54599953,30.06900024,40.38499832,32.51957332,6.16468769,13951.99316,,24.93329888,22.6,46.93247802,777399187,47.69694564,1324655000,1.44251,53.461,109.653862,79.81587982,42.48699951,25.31650886,743504289,,,4.360000134,46.539,39.46799946,57.51300049
China,2009,99.11564636,35.67290247,9.786188981,12.99400043,2612.45662,3.035000086,27.84499931,30.09900093,42.05599976,24.45665122,7.690293166,15207.08398,,20.14877647,28.9,45.88377306,779404706,55.2645244,1331260000,1.66249,52.12,109.3620911,84.01274872,41.59500122,23.20386097,745981905,,,4.288000107,47.88,38.56000042,58.40499878
China,2010,99.7,35.5904054,9.530192941,11.72399998,2943.589954,3.323999882,26.23399925,30.15399933,43.61299896,26.26741407,9.291158372,16777.57617,,22.6218853,34.3,46.39605425,779956733,63.17336105,1337705000,1.71007,50.774,107.4568634,88.03044128,40.22900009,21.64970733,747197047,,,4.199999809,49.226,36.90400028,59.77099991
China,2011,99.74872589,35.67418335,9.434516062,10.63799953,3298.003913,3.575999975,24.50699997,29.96500015,45.52799988,26.49432272,11.44345583,18326.94336,,24.10550867,38.3,46.4006848,782565087,72.12191839,1344130000,1.77648,49.489,105.9067001,91.08334351,39,20.84966105,748604971,,,4.340000153,50.511,35.42399883,61
China,2012,99.91638184,35.94391081,9.419936158,9.916000366,3474.988062,3.618000031,23.16900063,29.48399925,47.34799957,25.40819583,12.7387417,19730.35547,,22.699663,42.30011749,45.273502,784480961,80.87231798,1350695000,1.90711,48.235,105.2337112,92.56813049,38.21900177,20.22638739,749420852,,,4.46999979,51.765,34.60099983,61.78099823
China,2013,99.98311615,36.38525167,9.295189652,9.321000099,3773.405384,3.595999956,21.9279995,28.83399963,49.23799896,24.50498149,13.66140637,21230.38086,,22.06025329,45.8,44.0081519,785747229,88.88624773,1357380000,1.99102,46.987,103.8762283,95.029953,37.63499832,19.30765914,750070551,,,4.539999962,53.013,34.03900051,62.36500168
China,2014,99.99848938,36.96849343,9.059922416,8.772999763,3927.0445,3.608999968,20.72999954,28.06399918,51.20600128,23.49505827,14.42209207,22763.43359,,21.38150201,47.9,43.10295577,786573327,92.51732892,1364270000,2.02106,45.741,99.20278931,,37.05599976,17.94317934,750444761,,,4.592999935,54.259,33.44699955,62.94400024
"Egypt, Arab Rep.",2000,97.7,70.82363318,15.53807704,11.48600006,961.9490679,17.16200066,29.63299942,21.29700089,49.06999969,16.20111732,,27749.04492,,22.81681858,0.641265038,30.7518671,20449217,1.945326915,69905988,0.19253,57.203,91.00641632,79.33979797,40.06499863,7.844250767,18613019,,,8.979999542,42.797,22.90299988,59.93500137
"Egypt, Arab Rep.",2001,97.44282532,68.97497554,15.35126847,9.364999771,1013.254255,17.79100037,28.54500008,21.2670002,50.18799973,17.47978812,,28301.1543,,22.33063842,0.838945611,30.89885698,20823211,3.922392286,71226940,,57.157,91.87461853,80.29850006,38.48500061,9.399384559,18895076,,,9.260000229,42.843,20.69400024,61.51499939
"Egypt, Arab Rep.",2002,97.66513062,67.06747913,15.40485616,10.34000015,1062.527547,17.58600044,27.52099991,20.56599998,51.9129982,18.31617841,0.070170708,28685.13281,,22.67088942,2.719999715,32.58350488,21206688,6.191889645,72590118,,57.111,93.3265686,79.54247284,39.91500092,10.73804977,19083903,,,10.01000023,42.889,22.32900047,60.08499908
"Egypt, Arab Rep.",2003,98.8,65.18577643,15.28670659,11.89999962,1128.721384,18.13800049,29.86800003,19.75300026,50.37900162,21.79640719,0.074139714,28757.33594,4.945630074,24.38323353,4.037885107,33.37058683,22074281,7.836412296,73981942,,57.065,94.77909088,79.29653168,42.11199951,11.80781791,19643592,,,11.01000023,42.935,23.97499943,57.88800049
"Egypt, Arab Rep.",2004,98.10134888,63.43809897,14.26993612,13.48700047,1171.169753,17.63500023,31.83499908,19.95700073,48.20800018,28.22996085,0.105087562,28558.01172,4.6707201,29.58994436,11.92,34.66791675,22954071,10.13911841,75381899,0.2701,57.019,96.29779053,78.92285919,43.33399963,12.55493311,20590059,,,10.30000019,42.981,25.69900036,56.66600037
"Egypt, Arab Rep.",2005,99.4,61.87988657,13.9818013,12.68999958,1241.342768,14.88000011,30.93899918,21.51199913,47.54899979,30.34354689,0.183644698,29037.32422,4.794429779,32.60909935,12.75,34.14874652,23825225,17.75192835,76778149,0.24119,56.973,96.89836884,,39.86999893,13.54050356,21157055,,,11.19999981,43.027,24.98999977,60.13000107
"Egypt, Arab Rep.",2006,99.04,60.85664368,13.23720253,13.04399967,1311.364488,13.43799973,31.2329998,22.09799957,46.66999817,29.94981383,0.330769126,29791.61719,4.001780033,31.56872268,13.66,36.15473531,24616731,23.03137827,78159048,0.2589,56.927,99.50617218,,38.17200089,13.82780148,22034844,,,10.48999977,43.073,24.73499966,61.82799911
"Egypt, Arab Rep.",2007,98.81959534,59.81755535,13.42012621,13.97700024,1401.19247,14.1789999,31.75699997,22.16500092,46.07799911,30.24973147,0.600262119,29901.3418,3.68460989,34.82814178,16.03,35.06538668,25778898,37.83594714,79537253,0.25503,56.922,101.507309,,41.43199921,14.11772292,23510594,,,8.800000191,43.078,27.25300026,58.56800079
"Egypt, Arab Rep.",2008,99.8,58.92801118,12.63024009,14.33699989,1446.626135,14.92800045,31.69199944,22.90600014,45.40200043,33.04299274,0.950842616,31003.52734,3.760829926,38.63763261,18.01,36.21255165,26560782,51.00022567,80953881,0.27009,56.942,,,40.09400177,14.64110041,24297690,24.68479919,33.17660141,8.520000458,43.058,25.16600037,59.90599823
"Egypt, Arab Rep.",2009,99.3794632,58.41423218,12.99794665,13.16600037,1512.459428,15.16699982,29.95800018,23.75600052,46.2859993,24.95682211,1.30660124,31732.32227,,31.59662253,20,35.81644598,27333918,67.12207389,82465022,0.43404,56.961,104.0100021,66.62541962,39.39699936,12.50537349,24849220,29.7310009,35.42760086,9.090000153,43.039,24.2300005,60.60300064
"Egypt, Arab Rep.",2010,99.64969635,58.38142047,13.34075916,11.15100002,1550.810993,14.89400005,29.06200027,24.01799965,46.91999817,21.34924581,1.72591763,33396.20313,,26.58710426,21.6,35.78451848,28162941,84.01262188,84107606,0.43223,56.981,103.5819168,69.14846802,38.35200119,11.43549728,24826068,33.04130173,33.38479996,11.85000038,43.019,23.45800018,61.64799881
"Egypt, Arab Rep.",2011,99.8531723,58.51882485,13.8691051,10.87300014,1658.96445,15.75300026,29.23900032,23.5720005,47.18799973,20.56742761,2.1481972,33587.23047,,24.68820655,25.6,35.9517176,28501607,97.12166915,85897561,0.53197,57,98.82788086,78.90086365,38.81499863,10.1449749,25123908,31.88500023,33.98899841,11.85000038,43,23.06299973,61.18500137
"Egypt, Arab Rep.",2012,99.7,59.29512535,11.27276527,9.687000275,1658.770042,15.75500011,27.07099915,24.86000061,48.06900024,16.39696662,2.606409417,33874.18359,,24.31480265,26.4,39.25130856,29133980,110.2325598,87813257,0.51349,57.054,103.0078735,80.76509857,37.49300003,9.745108304,25462743,32.32709885,35.77009964,12.60000038,42.946,21.73799992,62.50699997
